"pair","dataset_a","dataset_b","chemical_a","chemical_b","year","n","r","r_squared"
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGE","LBXMPAH",2013,559,-0.0228,5e-04
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGE","LBXPFBS",2013,559,-0.0084,1e-04
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGE","LBXPFDE",2013,559,0.1974,0.039
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGE","LBXPFDO",2013,559,0.1255,0.0157
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGE","LBXPFHP",2013,559,-0.0185,3e-04
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGE","LBXPFHS",2013,559,0.0311,0.001
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGE","LBXPFNA",2013,559,0.1618,0.0262
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGE","LBXPFUA",2013,559,0.224,0.0502
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGM","LBXMPAH",2013,559,-0.0218,5e-04
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGM","LBXPFBS",2013,559,0.0194,4e-04
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGM","LBXPFDE",2013,559,0.5553,0.3084
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGM","LBXPFDO",2013,559,0.1176,0.0138
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGM","LBXPFHP",2013,559,-0.0261,7e-04
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGM","LBXPFHS",2013,559,0.1361,0.0185
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGM","LBXPFNA",2013,559,0.4055,0.1645
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGM","LBXPFUA",2013,559,0.6798,0.4622
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXIHG","LBXMPAH",2013,559,-0.0848,0.0072
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXIHG","LBXPFBS",2013,559,0.0615,0.0038
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXIHG","LBXPFDE",2013,559,0.2451,0.0601
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXIHG","LBXPFDO",2013,559,0.0831,0.0069
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXIHG","LBXPFHP",2013,559,0.0032,0
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXIHG","LBXPFHS",2013,559,0.0531,0.0028
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXIHG","LBXPFNA",2013,559,0.1407,0.0198
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXIHG","LBXPFUA",2013,559,0.3401,0.1157
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGE","LBXBFOA",2015,492,-0.0107,1e-04
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGE","LBXMFOS",2015,492,-0.035,0.0012
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGE","LBXMPAH",2015,492,-0.0446,0.002
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGE","LBXNFOA",2015,492,-0.0494,0.0024
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGE","LBXNFOS",2015,492,-0.0165,3e-04
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGE","LBXPFDE",2015,492,0.0118,1e-04
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGE","LBXPFDO",2015,492,-0.0093,1e-04
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGE","LBXPFHS",2015,492,-0.0494,0.0024
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGE","LBXPFNA",2015,492,-0.0318,0.001
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGE","LBXPFUA",2015,492,0.0443,0.002
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGM","LBXBFOA",2015,493,0.0983,0.0097
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGM","LBXMFOS",2015,493,0.2258,0.051
"IHGEM_vs_PFAS","IHGEM","PFAS","LBXBGM","LBXMPAH",2015,493,-0.1184,0.014
