"pair","dataset","dataset_label","chemical","year","gender","age_group","n","geo_mean","median","p25","p75"
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2013,"Female","18–44",123,0.110736666004586,0.11,0.11,0.11
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2013,"Female","45–64",73,0.111688891072321,0.11,0.11,0.11
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2013,"Female","65+",73,0.111049442786809,0.11,0.11,0.11
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2013,"Female","<18",42,0.11,0.11,0.11,0.11
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2013,"Male","18–44",104,0.11,0.11,0.11,0.11
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2013,"Male","45–64",86,0.114875064564434,0.11,0.11,0.11
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2013,"Male","65+",38,0.112518453712555,0.11,0.11,0.11
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2013,"Male","<18",33,0.11,0.11,0.11,0.11
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2015,"Female","18–44",95,0.111694473928584,0.11,0.11,0.11
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2015,"Female","45–64",82,0.110503787689423,0.11,0.11,0.11
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2015,"Female","65+",50,0.11,0.11,0.11,0.11
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2015,"Female","<18",31,0.11,0.11,0.11,0.11
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2015,"Male","18–44",101,0.11,0.11,0.11,0.11
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2015,"Male","45–64",61,0.110891666892034,0.11,0.11,0.11
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2015,"Male","65+",45,0.11,0.11,0.11,0.11
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2015,"Male","<18",40,0.11,0.11,0.11,0.11
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2017,"Female","18–44",374,0.0503278192659183,0.05,0.05,0.05
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2017,"Female","45–64",312,0.0502347483609458,0.05,0.05,0.05
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2017,"Female","65+",210,0.0501604818691254,0.05,0.05,0.05
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2017,"Female","<18",123,0.0512746803126607,0.05,0.05,0.05
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2017,"Male","18–44",340,0.0505451977639833,0.05,0.05,0.05
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2017,"Male","45–64",308,0.0506461455099526,0.05,0.05,0.05
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2017,"Male","65+",214,0.0502201109351673,0.05,0.05,0.05
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGE",2017,"Male","<18",119,0.05,0.05,0.05,0.05
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGM",2013,"Female","18–44",123,0.439988151951202,0.45,0.155,0.9
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGM",2013,"Female","45–64",73,0.706883595888783,0.62,0.32,1.72
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXBGM",2013,"Female","65+",73,0.644711209930048,0.7,0.32,1.59
