"dataset","year","chemical","n_total","n_below_lod","pct_below","dataset_label","lod_flag"
"IHGEM",2011,"LBXBGE",7841,0,0,"Mercury: Inorganic, Ethyl & Methyl (Blood)","Mostly detected (reliable)"
"IHGEM",2013,"LBXBGE",5175,0,0,"Mercury: Inorganic, Ethyl & Methyl (Blood)","Mostly detected (reliable)"
"IHGEM",2015,"LBXBGE",4936,0,0,"Mercury: Inorganic, Ethyl & Methyl (Blood)","Mostly detected (reliable)"
"IHGEM",2017,"LBXBGE",7480,0,0,"Mercury: Inorganic, Ethyl & Methyl (Blood)","Mostly detected (reliable)"
"IHGEM",2011,"LBXBGM",7841,0,0,"Mercury: Inorganic, Ethyl & Methyl (Blood)","Mostly detected (reliable)"
"IHGEM",2013,"LBXBGM",5175,0,0,"Mercury: Inorganic, Ethyl & Methyl (Blood)","Mostly detected (reliable)"
"IHGEM",2015,"LBXBGM",4938,0,0,"Mercury: Inorganic, Ethyl & Methyl (Blood)","Mostly detected (reliable)"
"IHGEM",2017,"LBXBGM",7480,0,0,"Mercury: Inorganic, Ethyl & Methyl (Blood)","Mostly detected (reliable)"
"IHGEM",2007,"LBXIHG",8162,0,0,"Mercury: Inorganic, Ethyl & Methyl (Blood)","Mostly detected (reliable)"
"IHGEM",2009,"LBXIHG",8733,0,0,"Mercury: Inorganic, Ethyl & Methyl (Blood)","Mostly detected (reliable)"
"IHGEM",2011,"LBXIHG",7841,0,0,"Mercury: Inorganic, Ethyl & Methyl (Blood)","Mostly detected (reliable)"
"IHGEM",2013,"LBXIHG",5175,0,0,"Mercury: Inorganic, Ethyl & Methyl (Blood)","Mostly detected (reliable)"
"IHGEM",2015,"LBXIHG",4938,0,0,"Mercury: Inorganic, Ethyl & Methyl (Blood)","Mostly detected (reliable)"
"IHGEM",2017,"LBXIHG",7480,0,0,"Mercury: Inorganic, Ethyl & Methyl (Blood)","Mostly detected (reliable)"
"PBCD_EXT",2011,"LBXBCD",7920,0,0,"Cadmium, Lead, Hg, Se & Mn (Blood)","Mostly detected (reliable)"
"PBCD_EXT",2013,"LBXBCD",5215,0,0,"Cadmium, Lead, Hg, Se & Mn (Blood)","Mostly detected (reliable)"
"PBCD_EXT",2015,"LBXBCD",4988,0,0,"Cadmium, Lead, Hg, Se & Mn (Blood)","Mostly detected (reliable)"
"PBCD_EXT",2017,"LBXBCD",7513,0,0,"Cadmium, Lead, Hg, Se & Mn (Blood)","Mostly detected (reliable)"
"PBCD_EXT",2011,"LBXBMN",7920,0,0,"Cadmium, Lead, Hg, Se & Mn (Blood)","Mostly detected (reliable)"
"PBCD_EXT",2013,"LBXBMN",5215,0,0,"Cadmium, Lead, Hg, Se & Mn (Blood)","Mostly detected (reliable)"
"PBCD_EXT",2015,"LBXBMN",4987,0,0,"Cadmium, Lead, Hg, Se & Mn (Blood)","Mostly detected (reliable)"
"PBCD_EXT",2017,"LBXBMN",7513,0,0,"Cadmium, Lead, Hg, Se & Mn (Blood)","Mostly detected (reliable)"
"PBCD_EXT",2011,"LBXBPB",7920,0,0,"Cadmium, Lead, Hg, Se & Mn (Blood)","Mostly detected (reliable)"
"PBCD_EXT",2013,"LBXBPB",5215,0,0,"Cadmium, Lead, Hg, Se & Mn (Blood)","Mostly detected (reliable)"
"PBCD_EXT",2015,"LBXBPB",4988,0,0,"Cadmium, Lead, Hg, Se & Mn (Blood)","Mostly detected (reliable)"
"PBCD_EXT",2017,"LBXBPB",6884,0,0,"Cadmium, Lead, Hg, Se & Mn (Blood)","Mostly detected (reliable)"
"PBCD_EXT",2011,"LBXBSE",7920,0,0,"Cadmium, Lead, Hg, Se & Mn (Blood)","Mostly detected (reliable)"
"PBCD_EXT",2013,"LBXBSE",5215,0,0,"Cadmium, Lead, Hg, Se & Mn (Blood)","Mostly detected (reliable)"
"PBCD_EXT",2015,"LBXBSE",4987,0,0,"Cadmium, Lead, Hg, Se & Mn (Blood)","Mostly detected (reliable)"
"PBCD_EXT",2017,"LBXBSE",7513,0,0,"Cadmium, Lead, Hg, Se & Mn (Blood)","Mostly detected (reliable)"
"PBCD_EXT",2011,"LBXTHG",7920,0,0,"Cadmium, Lead, Hg, Se & Mn (Blood)","Mostly detected (reliable)"
"PBCD_EXT",2013,"LBXTHG",5215,0,0,"Cadmium, Lead, Hg, Se & Mn (Blood)","Mostly detected (reliable)"
"PBCD_EXT",2015,"LBXTHG",4988,0,0,"Cadmium, Lead, Hg, Se & Mn (Blood)","Mostly detected (reliable)"
"PBCD_EXT",2017,"LBXTHG",7513,0,0,"Cadmium, Lead, Hg, Se & Mn (Blood)","Mostly detected (reliable)"
"PFAS",2015,"LBXBFOA",1993,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2017,"LBXBFOA",1929,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2015,"LBXMFOS",1993,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2017,"LBXMFOS",1929,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2013,"LBXMPAH",2168,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2015,"LBXMPAH",1993,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2017,"LBXMPAH",1929,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2015,"LBXNFOA",1993,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2017,"LBXNFOA",1929,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2015,"LBXNFOS",1993,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2017,"LBXNFOS",1929,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2013,"LBXPFBS",2168,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2013,"LBXPFDE",2168,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2015,"LBXPFDE",1993,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2017,"LBXPFDE",1929,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2013,"LBXPFDO",2168,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2015,"LBXPFDO",1993,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2013,"LBXPFHP",2168,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2013,"LBXPFHS",2168,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2015,"LBXPFHS",1993,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2017,"LBXPFHS",1929,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2013,"LBXPFNA",2168,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2015,"LBXPFNA",1993,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2017,"LBXPFNA",1929,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2013,"LBXPFUA",2168,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2015,"LBXPFUA",1993,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFAS",2017,"LBXPFUA",1929,NA,NA,"PFAS (Serum)","Mostly detected (reliable)"
"PFC",2003,"LBXEPAH",2094,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2005,"LBXEPAH",2120,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2007,"LBXEPAH",2100,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2009,"LBXEPAH",2233,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2011,"LBXEPAH",1904,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2003,"LBXMPAH",2094,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2005,"LBXMPAH",2120,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2007,"LBXMPAH",2100,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2009,"LBXMPAH",2233,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2011,"LBXMPAH",1904,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2003,"LBXPFBS",2094,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2005,"LBXPFBS",2120,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2007,"LBXPFBS",2100,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2009,"LBXPFBS",2233,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2011,"LBXPFBS",1904,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2003,"LBXPFDE",2094,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2005,"LBXPFDE",2120,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2007,"LBXPFDE",2100,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2009,"LBXPFDE",2233,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2011,"LBXPFDE",1904,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2003,"LBXPFDO",2094,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2005,"LBXPFDO",2120,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2007,"LBXPFDO",2100,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2009,"LBXPFDO",2233,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2011,"LBXPFDO",1904,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2003,"LBXPFHP",2094,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2005,"LBXPFHP",2120,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2007,"LBXPFHP",2100,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2009,"LBXPFHP",2233,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2011,"LBXPFHP",1904,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2003,"LBXPFHS",2094,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2005,"LBXPFHS",2120,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2007,"LBXPFHS",2100,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2009,"LBXPFHS",2233,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2011,"LBXPFHS",1904,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2003,"LBXPFNA",2094,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2005,"LBXPFNA",2120,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2007,"LBXPFNA",2100,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2009,"LBXPFNA",2233,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2011,"LBXPFNA",1904,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2003,"LBXPFOA",2094,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
