"datafilename","datafiledescription"
"ApoB_H","Apolipoprotein B"
"CBC_H","Complete Blood Count with 5-part Differential - Whole Blood"
"HDL_H","Cholesterol - HDL"
"TCHOL_H","Cholesterol - Total"
"GHB_H","Glycohemoglobin"
"BIOPRO_H","Standard Biochemistry Profile"
"CUSEZN_H","Copper, Selenium & Zinc - Serum"
"HEPA_H","Hepatitis A"
"HEPB_S_H","Hepatitis B: Surface Antibody"
"HEPBD_H","Hepatitis B: Core antibody, Surface antigen, and Hepatitis D: antibody"
"HIV_H","HIV Antibody Test"
"HSV_H","Herpes Simplex Virus Type-1 & Type-2"
"OGTT_H","Oral Glucose Tolerance Test"
"PERNT_H","Perchlorate, Nitrate & Thiocyanate - Urine"
"PFAS_H","Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC)"
"TGEMA_H","Tissue Transglutaminase Assay (IgA-TTG) & IgA Endomyseal Antibody Assay (IgA EMA)"
"TRIGLY_H","Cholesterol - LDL & Triglycerides"
"TST_H","Sex Steroid Hormone - Serum"
"UCFLOW_H","Urine Flow Rate"
"UCPREG_H","Pregnancy Test - Urine"
"UHG_H","Mercury: Inorganic - Urine"
"UM_H","Metals - Urine"
"UIO_H","Iodine - Urine"
"GLU_H","Plasma Fasting Glucose"
"FLDEP_H","Fluoride - Plasma"
"FLDEW_H","Fluoride - Water"
"HEPC_H","Hepatitis C: RNA (HCV-RNA) and Hepatitis C Genotype"
"HEPE_H","Hepatitis E: IgG & IgM Antibodies"
"IHGEM_H","Mercury: Inorganic, Ethyl and Methyl - Blood"
"ORHPV_H","Human Papillomavirus (HPV) - Oral Rinse"
"PBCD_H","Lead, Cadmium, Total Mercury, Selenium, and Manganese - Blood"
"TRICH_H","Trichomonas - Urine"
"UASS_H","Arsenics - Speciated - Urine - Special Sample"
"UTAS_H","Arsenic - Total - Urine"
"VITB12_H","Vitamin B12"
"CHLMDA_H","Chlamydia - Urine"
"UAS_H","Arsenics - Speciated - Urine"
"UTASS_H","Arsenic - Total - Urine - Special Sample"
"UMS_H","Metals - Urine - Special Sample"
"FASTQX_H","Fasting Questionnaire"
"INS_H","Insulin"
"HPVP_H","Human Papillomavirus (HPV) DNA Results from Penile Swab Samples: Roche Linear Array"
"PERNTS_H","Perchlorate, Nitrate & Thiocyanate - Urine - Special Sample"
"HPVSWR_H","Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array"
"SSPFAS_H","Perfluoroalkyl and Polyfluoroalkyl Substances - Linear and Branched PFOS and PFOA Isomers (Surplus)"
"EPHPP_H","Personal Care and Consumer Product Chemicals and Metabolites"
"COT_H","Cotinine and Hydroxycotinine - Serum"
"SSTOXO_H","Toxoplasma gondii Antibody - Serum (Surplus)"
"SSTOCA_H","Antibody to Toxocara spp. (Surplus)"
"PHTHTE_H","Phthalates and Plasticizers Metabolites - Urine"
"ALB_CR_H","Albumin & Creatinine - Urine"
"VOCWB_H","Volatile Organic Compounds and Trihalomethanes/MTBE - Blood"
"PAH_H","Polycyclic Aromatic Hydrocarbons (PAH) - Urine"
"DEET_H","DEET and Metabolites"
"SSPHTE_H","Phthalates and Plasticizers Metabolites - Urine (Surplus)"
"VOCWBS_H","Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample"
"PAHS_H","Polycyclic Aromatic Hydrocarbons (PAH) - Urine - Special Sample"
"SSFLRT_H","Flame Retardant Metabolites - Urine (Surplus)"
"SSPFAC_H","Perfluoroalkyl and Polyfluoroalkyl Substances in US children 3-11 Years of Age"
"HCAA_H","Heterocyclic Aromatic Amines - Urine"
"HCAAS_H","Heterocyclic Aromatic Amines (HCAA) - Urine - Special Sample"
"SSHEPC_H","Hepatitis C: Confirmed Antibody (INNO-LIA)"
"MMA_H","Methylmalonic Acid"
"UVOC_H","Volatile Organic Compound (VOC) Metabolites - Urine"
"UVOCS_H","Volatile Organic Compound (VOC) Metabolites - Urine - Special Sample"
"VID_H","Vitamin D"
"PCBPOL_H","Non-dioxin-like Polychlorinated Biphenyls & Mono-ortho-substituted Polychlorinated Biphenyls - Serum - Pooled Samples"
"BFRPOL_H","Brominated Flame Retardants (BFRs) - Pooled Samples"
"POOLTF_H","Pooled-Sample Technical Support File"
"PSTPOL_H","Pesticides - Organochlorine Pesticides - Pooled Samples"
"ALD_H","Aldehydes - Serum"
"ALDS_H","Aldehydes - Serum - Special Sample"
"FOLATE_H","Folate - RBC"
"FOLFMS_H","Folate Forms - Total & Individual - Serum"
"VNA_H","Volatile N-Nitrosamine Compounds (VNAs) - Urine"
"VNAS_H","Volatile N-Nitrosamine Compounds (VNAs) - Urine - Special Sample"
"SSPFSU_H","Perfluoroalkyl and Polyfluoroalkyl Substances"
"UCOTS_H","Cotinine, Hydroxycotinine, & Other Nicotine Metabolites and Analogs - Urine - Special Sample"
"UCOT_H","Cotinine, Hydroxycotinine, & Other Nicotine Metabolites and Analogs - Urine"
"TSNA_H","Tobacco-specific Nitrosamines (TSNAs) - Urine"
"AMDGYD_H","Acrylamide & Glycidamide"
"ETHOX_H","Ethylene Oxide"
"AMDGDS_H","Acrylamide & Glycidamide - Special Sample"
"ETHOXS_H","Ethylene Oxide - Special Sample"
"AA_H","Aromatic Amines - Urine"
"AAS_H","Aromatic Amines - Urine - Special Sample"
"FORMAS_H","Formaldehyde - Special Sample"
"FORMAL_H","Formaldehyde"
"SSCT_H","Chlamydia Pgp3 (plasmid gene product 3) ELISA (enzyme linked immunosorbent assay) and multiplex bead array (MBA) results"
"CAFE_H","Caffeine & Caffeine Metabolites - Urine"
"UPHOPM_H","Pyrethroids, Herbicides, & Organophosphorus Metabolites - Urine"
"SSSNFL_H","Serum Neurofilament Light Chain - Serum"
"SSGLYP_H","Glyphosate (GLYP) - Urine"
"SSKL_H","Klotho - Serum (Surplus)"
"FAS_H","Fatty Acids - Serum"
"SSTERP_H","Terpenes – Serum (Surplus)"
"SSEVD_H","Enterovirus D68 (EV-D68) - Serum (Surplus)"
"DOXPOL_H","Polychlorinated dibenzo-p-dioxins (PCDDs), Dibenzofurans (PCDFs) & Coplanar Polychlorinated Biphenyls (cPCBs) - Pooled Samples"
