"year","dataset_a","label_a","dataset_b","label_b","n_overlap","n_a","n_b","pct_of_a","pct_of_b"
"2003","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)",9179,9179,9179,100,100
"2003","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",7982,9179,7982,87,100
"2003","ALB_CR","Albumin & Creatinine – Urine (all cycles)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",7982,7982,7982,100,100
"2003","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)",2697,9179,2697,29.4,100
"2003","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",2697,9179,2697,29.4,100
"2003","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)",2697,2697,2697,100,100
"2003","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",2697,2697,2697,100,100
"2003","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",2697,2697,7982,100,33.8
"2003","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",2697,2697,2697,100,100
"2003","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",2697,2697,7982,100,33.8
"2003","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","UHG","Mercury: Inorganic – Urine (all cycles)",2673,9179,2673,29.1,100
"2003","UHG","Mercury: Inorganic – Urine (all cycles)","UHG","Mercury: Inorganic – Urine (all cycles)",2673,2673,2673,100,100
"2003","UHG","Mercury: Inorganic – Urine (all cycles)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",2673,2673,7982,100,33.5
"2003","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",2612,9179,2612,28.5,100
"2003","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]",2612,9179,2612,28.5,100
"2003","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",2612,9179,2612,28.5,100
"2003","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",2612,2612,2612,100,100
"2003","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]",2612,2612,2612,100,100
"2003","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",2612,2612,2612,100,100
"2003","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine","ALB_CR","Albumin & Creatinine – Urine (all cycles)",2612,2612,7982,100,32.7
"2003","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]",2612,2612,2612,100,100
"2003","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",2612,2612,2612,100,100
"2003","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]","ALB_CR","Albumin & Creatinine – Urine (all cycles)",2612,2612,7982,100,32.7
"2003","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",2612,2612,2612,100,100
"2003","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]","ALB_CR","Albumin & Creatinine – Urine (all cycles)",2612,2612,7982,100,32.7
"2003","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)",2368,9179,2368,25.8,100
"2003","UHG","Mercury: Inorganic – Urine (all cycles)","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)",2368,2673,2368,88.6,100
"2003","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)",2368,2368,2368,100,100
"2003","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",2368,2368,7982,100,29.7
"2003","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","VOCWB","VOCs – Blood (full panel, all cycles)",1489,9179,1489,16.2,100
"2003","VOCWB","VOCs – Blood (full panel, all cycles)","VOCWB","VOCs – Blood (full panel, all cycles)",1489,1489,1489,100,100
"2003","VOCWB","VOCs – Blood (full panel, all cycles)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",1489,1489,7982,100,18.7
"2003","VOCWB","VOCs – Blood (full panel, all cycles)","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",980,1489,2612,65.8,37.5
