"","PBCD","UHG","PFC","VOCWB","PHTHTE","OPD","PP","PEST","PAH","ALB_CR"
"PBCD",9179,2673,2368,1489,2697,2612,2612,2612,2697,7982
"UHG",2673,2673,2368,251,0,0,0,0,0,2673
"PFC",2368,2368,2368,251,0,0,0,0,0,2368
"VOCWB",1489,251,251,1489,258,980,980,980,258,1489
"PHTHTE",2697,0,0,258,2697,0,0,0,2697,2697
"OPD",2612,0,0,980,0,2612,2612,2612,0,2612
"PP",2612,0,0,980,0,2612,2612,2612,0,2612
"PEST",2612,0,0,980,0,2612,2612,2612,0,2612
"PAH",2697,0,0,258,2697,0,0,0,2697,2697
"ALB_CR",7982,2673,2368,1489,2697,2612,2612,2612,2697,7982
