"","PBCD","IHG","UHG","PFC","VOCWB","PHTHTE","PERNT","OPD","PP","PEST","CARB","PAH","ALB_CR"
"PBCD",9440,9440,2692,2323,3545,2638,8086,2756,2638,2756,2756,2638,8086
"IHG",9440,9440,2692,2323,3545,2638,8086,2756,2638,2756,2756,2638,8086
"UHG",2692,2692,2692,2323,570,0,2692,0,0,0,0,0,2692
"PFC",2323,2323,2323,2323,570,0,2323,0,0,0,0,0,2323
"VOCWB",3545,3545,570,570,3545,586,3545,2389,586,2389,2389,586,3545
"PHTHTE",2638,2638,0,0,586,2638,2638,0,2638,0,0,2638,2638
"PERNT",8086,8086,2692,2323,3545,2638,8086,2756,2638,2756,2756,2638,8086
"OPD",2756,2756,0,0,2389,0,2756,2756,0,2756,2756,0,2756
"PP",2638,2638,0,0,586,2638,2638,0,2638,0,0,2638,2638
"PEST",2756,2756,0,0,2389,0,2756,2756,0,2756,2756,0,2756
"CARB",2756,2756,0,0,2389,0,2756,2756,0,2756,2756,0,2756
"PAH",2638,2638,0,0,586,2638,2638,0,2638,0,0,2638,2638
"ALB_CR",8086,8086,2692,2323,3545,2638,8086,2756,2638,2756,2756,2638,8086
