"","PBCD","IHGEM","UHG","PFC","VOCWB","VOC_TTHM","PHTHTE","PERNT","OPD","PP","PEST","CARB","PYRET_EARLY","PAH","ALB_CR"
"PBCD",9307,9307,2720,2294,3415,3415,2718,8132,2694,2718,2694,2694,2718,2718,8132
"IHGEM",9307,9307,2720,2294,3415,3415,2718,8132,2694,2718,2694,2694,2718,2718,8132
"UHG",2720,2720,2720,0,2311,2311,0,2720,0,0,0,0,0,0,2720
"PFC",2294,2294,0,2294,548,548,0,2294,2294,0,2294,2294,0,0,2294
"VOCWB",3415,3415,2311,548,3415,3415,556,3415,548,556,548,548,556,556,3415
"VOC_TTHM",3415,3415,2311,548,3415,3415,556,3415,548,556,548,548,556,556,3415
"PHTHTE",2718,2718,0,0,556,556,2718,2718,0,2718,0,0,2718,2718,2718
"PERNT",8132,8132,2720,2294,3415,3415,2718,8132,2694,2718,2694,2694,2718,2718,8132
"OPD",2694,2694,0,2294,548,548,0,2694,2694,0,2694,2694,0,0,2694
"PP",2718,2718,0,0,556,556,2718,2718,0,2718,0,0,2718,2718,2718
"PEST",2694,2694,0,2294,548,548,0,2694,2694,0,2694,2694,0,0,2694
"CARB",2694,2694,0,2294,548,548,0,2694,2694,0,2694,2694,0,0,2694
"PYRET_EARLY",2718,2718,0,0,556,556,2718,2718,0,2718,0,0,2718,2718,2718
"PAH",2718,2718,0,0,556,556,2718,2718,0,2718,0,0,2718,2718,2718
"ALB_CR",8132,8132,2720,2294,3415,3415,2718,8132,2694,2718,2694,2694,2718,2718,8132
