"","PBCD","IHGEM","UHG","PFC","VOCWB","VOC_TTHM","PHTHTE","PERNT","PEST","PYRET_EARLY","PAH","ALB_CR"
"PBCD",9835,9835,2941,2432,3745,3745,2819,2941,2819,2819,2819,8591
"IHGEM",9835,9835,2941,2432,3745,3745,2819,2941,2819,2819,2819,8591
"UHG",2941,2941,2941,0,2544,2544,0,2941,0,0,0,2941
"PFC",2432,2432,0,2432,619,619,0,0,0,0,0,2432
"VOCWB",3745,3745,2544,619,3745,3745,582,2544,582,582,582,3745
"VOC_TTHM",3745,3745,2544,619,3745,3745,582,2544,582,582,582,3745
"PHTHTE",2819,2819,0,0,582,582,2819,0,2819,2819,2819,2819
"PERNT",2941,2941,2941,0,2544,2544,0,2941,0,0,0,2941
"PEST",2819,2819,0,0,582,582,2819,0,2819,2819,2819,2819
"PYRET_EARLY",2819,2819,0,0,582,582,2819,0,2819,2819,2819,2819
"PAH",2819,2819,0,0,582,582,2819,0,2819,2819,2819,2819
"ALB_CR",8591,8591,2941,2432,3745,3745,2819,2941,2819,2819,2819,8591
