"","PBCD_EXT","IHGEM","UHG","PFC","VOCWB","VOC_TTHM","PHTHTE","PERNT","PEST","UPHOPM","UVOC","PAH","ALB_CR"
"PBCD_EXT",8956,8956,2594,2177,3294,3294,2594,2594,2594,2505,2551,2594,7821
"IHGEM",8956,8956,2594,2177,3294,3294,2594,2594,2594,2505,2551,2594,7821
"UHG",2594,2594,2594,2177,2177,2177,2594,2594,2594,0,2551,2594,2594
"PFC",2177,2177,2177,2177,2177,2177,2177,2177,2177,0,2144,2177,2177
"VOCWB",3294,3294,2177,2177,3294,3294,2177,2177,2177,525,2144,2177,3294
"VOC_TTHM",3294,3294,2177,2177,3294,3294,2177,2177,2177,525,2144,2177,3294
"PHTHTE",2594,2594,2594,2177,2177,2177,2594,2594,2594,0,2551,2594,2594
"PERNT",2594,2594,2594,2177,2177,2177,2594,2594,2594,0,2551,2594,2594
"PEST",2594,2594,2594,2177,2177,2177,2594,2594,2594,0,2551,2594,2594
"UPHOPM",2505,2505,0,0,525,525,0,0,0,2505,0,0,2505
"UVOC",2551,2551,2551,2144,2144,2144,2551,2551,2551,0,2551,2551,2551
"PAH",2594,2594,2594,2177,2177,2177,2594,2594,2594,0,2551,2594,2594
"ALB_CR",7821,7821,2594,2177,3294,3294,2594,2594,2594,2505,2551,2594,7821
