"","PBCD_EXT","IHGEM","UHG","PFAS","SSPFAS","PFAS_CHILD","VOCWB","VOC_TTHM","PHTHTE","PERNT","UPHOPM","UVOC","ALB_CR"
"PBCD_EXT",5932,5932,2755,600,511,525,3489,3489,1038,2755,1008,2755,4801
"IHGEM",5932,5932,2755,600,511,525,3489,3489,1038,2755,1008,2755,4801
"UHG",2755,2755,2755,0,0,123,2324,2324,0,2755,0,2755,2755
"PFAS",600,600,0,2339,1954,0,600,600,2339,0,0,0,2339
"SSPFAS",511,511,0,1954,1954,0,511,511,1954,0,0,0,1954
"PFAS_CHILD",525,525,123,0,0,525,0,0,120,123,133,123,376
"VOCWB",3489,3489,2324,600,511,0,3489,3489,600,2324,565,2324,3489
"VOC_TTHM",3489,3489,2324,600,511,0,3489,3489,600,2324,565,2324,3489
"PHTHTE",1038,1038,0,2339,1954,120,600,600,2777,0,0,0,2777
"PERNT",2755,2755,2755,0,0,123,2324,2324,0,2755,0,2755,2755
"UPHOPM",1008,1008,0,0,0,133,565,565,0,0,2759,0,2759
"UVOC",2755,2755,2755,0,0,123,2324,2324,0,2755,0,2755,2755
"ALB_CR",4801,4801,2755,2339,1954,376,3489,3489,2777,2755,2759,2755,8291
