"","PBCD_EXT","IHGEM","UHG","PFAS","SSPFAS","VOCWB","VOC_TTHM","PHTHTE","PERNT","UVOC","SSUVOC","ALB_CR"
"PBCD_EXT",8366,8366,2979,2133,1672,3172,3172,2986,2979,2979,2979,7936
"IHGEM",8366,8366,2979,2133,1672,3172,3172,2986,2979,2979,2979,7936
"UHG",2979,2979,2979,0,0,2131,2131,501,2979,2979,2979,2979
"PFAS",2133,2133,0,2133,1672,523,523,2133,0,0,0,2133
"SSPFAS",1672,1672,0,1672,1672,406,406,1672,0,0,0,1672
"VOCWB",3172,3172,2131,523,406,3172,3172,523,2131,2131,2131,3172
"VOC_TTHM",3172,3172,2131,523,406,3172,3172,523,2131,2131,2131,3172
"PHTHTE",2986,2986,501,2133,1672,523,523,2986,501,501,501,2986
"PERNT",2979,2979,2979,0,0,2131,2131,501,2979,2979,2979,2979
"UVOC",2979,2979,2979,0,0,2131,2131,501,2979,2979,2979,2979
"SSUVOC",2979,2979,2979,0,0,2131,2131,501,2979,2979,2979,2979
"ALB_CR",7936,7936,2979,2133,1672,3172,3172,2986,2979,2979,2979,7936
