"dataset_a","label_a","dataset_b","label_b","years_both_collected","years_available","total_overlap_sum","max_single_year"
"IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",6,"2007, 2009, 2011, 2013, 2015, 2017",42539,8591
"PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",4,"2003, 2005, 2007, 2009",32791,8591
"PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",7,"2005, 2007, 2009, 2011, 2013, 2015, 2017",30766,8132
"PBCD_EXT","Cadmium, Lead, Hg, Selenium & Manganese – Blood (2011-2017)","IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)",4,"2011, 2013, 2015, 2017",29069,8956
"PBCD_EXT","Cadmium, Lead, Hg, Selenium & Manganese – Blood (2011-2017)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",4,"2011, 2013, 2015, 2017",25816,7936
"VOCWB","VOCs – Blood (full panel, all cycles)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",8,"2003, 2005, 2007, 2009, 2011, 2013, 2015, 2017",25543,3745
"IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",6,"2007, 2009, 2011, 2013, 2015, 2017",22680,8132
"UHG","Mercury: Inorganic – Urine (all cycles)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",8,"2003, 2005, 2007, 2009, 2011, 2013, 2015, 2017",22633,3279
"PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",8,"2003, 2005, 2007, 2009, 2011, 2013, 2015, 2017",22434,3205
"IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)","VOCWB","VOCs – Blood (full panel, all cycles)",6,"2007, 2009, 2011, 2013, 2015, 2017",20509,3745
"IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)","VOC_TTHM","VOCs – Trihalomethanes/MTBE/Nitromethane – Blood  [NEEDS_VALIDATION for 2007]",6,"2007, 2009, 2011, 2013, 2015, 2017",20509,3745
"VOCWB","VOCs – Blood (full panel, all cycles)","VOC_TTHM","VOCs – Trihalomethanes/MTBE/Nitromethane – Blood  [NEEDS_VALIDATION for 2007]",6,"2007, 2009, 2011, 2013, 2015, 2017",20509,3745
"VOC_TTHM","VOCs – Trihalomethanes/MTBE/Nitromethane – Blood  [NEEDS_VALIDATION for 2007]","ALB_CR","Albumin & Creatinine – Urine (all cycles)",6,"2007, 2009, 2011, 2013, 2015, 2017",20509,3745
"UHG","Mercury: Inorganic – Urine (all cycles)","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",7,"2005, 2007, 2009, 2011, 2013, 2015, 2017",19960,3279
"PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",3,"2005, 2007, 2009",19159,8132
"PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)",2,"2007, 2009",19142,9835
"VOCWB","VOCs – Blood (full panel, all cycles)","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",7,"2005, 2007, 2009, 2011, 2013, 2015, 2017",18420,3545
"IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)","UHG","Mercury: Inorganic – Urine (all cycles)",6,"2007, 2009, 2011, 2013, 2015, 2017",17268,3279
"VOC_TTHM","VOCs – Trihalomethanes/MTBE/Nitromethane – Blood  [NEEDS_VALIDATION for 2007]","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",6,"2007, 2009, 2011, 2013, 2015, 2017",14875,3415
"UHG","Mercury: Inorganic – Urine (all cycles)","VOCWB","VOCs – Blood (full panel, all cycles)",8,"2003, 2005, 2007, 2009, 2011, 2013, 2015, 2017",14592,2544
"UHG","Mercury: Inorganic – Urine (all cycles)","VOC_TTHM","VOCs – Trihalomethanes/MTBE/Nitromethane – Blood  [NEEDS_VALIDATION for 2007]",6,"2007, 2009, 2011, 2013, 2015, 2017",13771,2544
"IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)",6,"2007, 2009, 2011, 2013, 2015, 2017",13726,2986
"PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]","ALB_CR","Albumin & Creatinine – Urine (all cycles)",5,"2003, 2005, 2007, 2009, 2011",13475,2819
"PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",5,"2003, 2005, 2007, 2009, 2011",13466,2819
"PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",5,"2003, 2005, 2007, 2009, 2011",13466,2819
"PBCD_EXT","Cadmium, Lead, Hg, Selenium & Manganese – Blood (2011-2017)","VOCWB","VOCs – Blood (full panel, all cycles)",4,"2011, 2013, 2015, 2017",13349,3489
"PBCD_EXT","Cadmium, Lead, Hg, Selenium & Manganese – Blood (2011-2017)","VOC_TTHM","VOCs – Trihalomethanes/MTBE/Nitromethane – Blood  [NEEDS_VALIDATION for 2007]",4,"2011, 2013, 2015, 2017",13349,3489
"PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","VOCWB","VOCs – Blood (full panel, all cycles)",4,"2003, 2005, 2007, 2009",12194,3745
"PBCD_EXT","Cadmium, Lead, Hg, Selenium & Manganese – Blood (2011-2017)","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",4,"2011, 2013, 2015, 2017",11607,3279
"PBCD_EXT","Cadmium, Lead, Hg, Selenium & Manganese – Blood (2011-2017)","UHG","Mercury: Inorganic – Urine (all cycles)",4,"2011, 2013, 2015, 2017",11607,3279
"PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",5,"2003, 2005, 2007, 2009, 2011",11594,2432
"IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)","UVOC","VOC Metabolites – Urine (2011-2017; 2005-2009 not published per audit)",4,"2011, 2013, 2015, 2017",11564,3279
"PBCD_EXT","Cadmium, Lead, Hg, Selenium & Manganese – Blood (2011-2017)","UVOC","VOC Metabolites – Urine (2011-2017; 2005-2009 not published per audit)",4,"2011, 2013, 2015, 2017",11564,3279
"PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)","UVOC","VOC Metabolites – Urine (2011-2017; 2005-2009 not published per audit)",4,"2011, 2013, 2015, 2017",11564,3279
"UHG","Mercury: Inorganic – Urine (all cycles)","UVOC","VOC Metabolites – Urine (2011-2017; 2005-2009 not published per audit)",4,"2011, 2013, 2015, 2017",11564,3279
