"year","dataset","label","n_participants"
"2003","ALB_CR","Albumin & Creatinine – Urine (all cycles)",7982
"2005","ALB_CR","Albumin & Creatinine – Urine (all cycles)",8086
"2007","ALB_CR","Albumin & Creatinine – Urine (all cycles)",8132
"2009","ALB_CR","Albumin & Creatinine – Urine (all cycles)",8591
"2011","ALB_CR","Albumin & Creatinine – Urine (all cycles)",7821
"2013","ALB_CR","Albumin & Creatinine – Urine (all cycles)",8291
"2015","ALB_CR","Albumin & Creatinine – Urine (all cycles)",8608
"2017","ALB_CR","Albumin & Creatinine – Urine (all cycles)",7936
"2005","CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)",2756
"2007","CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)",2694
"2005","IHG","Mercury: Inorganic – Blood (2005 only)",9440
"2007","IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)",9307
"2009","IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)",9835
"2011","IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)",8956
"2013","IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)",5932
"2015","IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)",5815
"2017","IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)",8366
"2003","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",2612
"2005","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",2756
"2007","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",2694
"2015","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",3205
"2003","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",2697
"2005","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",2638
"2007","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",2718
"2009","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",2819
"2011","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",2594
"2003","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)",9179
"2005","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)",9440
"2007","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)",9307
"2009","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)",9835
"2011","PBCD_EXT","Cadmium, Lead, Hg, Selenium & Manganese – Blood (2011-2017)",8956
"2013","PBCD_EXT","Cadmium, Lead, Hg, Selenium & Manganese – Blood (2011-2017)",5932
"2015","PBCD_EXT","Cadmium, Lead, Hg, Selenium & Manganese – Blood (2011-2017)",5815
"2017","PBCD_EXT","Cadmium, Lead, Hg, Selenium & Manganese – Blood (2011-2017)",8366
"2005","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",8086
"2007","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",8132
"2009","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",2941
"2011","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",2594
"2013","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",2755
"2015","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",3279
"2017","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",2979
"2003","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",2612
"2005","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",2756
"2007","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",2694
"2009","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",2819
"2011","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",2594
"2013","PFAS","PFAS – Serum (2013-2017, renamed from PFC)",2339
"2015","PFAS","PFAS – Serum (2013-2017, renamed from PFC)",2170
"2017","PFAS","PFAS – Serum (2013-2017, renamed from PFC)",2133
"2013","PFAS_CHILD","PFAS – Children 3-11 Years Subsample – Serum (2013 only)  [NEEDS_VALIDATION]",525
